Site,Location,Latitude ,Longitude ,ID,ID_tip,ID_base,Laboratory_number,Age_C14_BP,SD,Period ,Age_calBP,Techno-complex ,Typology,Reference
Abelskov ,Denmark,56.2544,14.0718,ABL_1,ABL_1_tip,NA,AAR_6266,8570,65,Early Holocene,9693-9455,Maglemosian,Type 8/Atypical base,Andersen and Petersen 2009
Ved Halleby A,Denmark,55.5777,11.2858,VHA_1,NA,VHA_1_basis,KA_6333,8610,90,Early Holocene,9895-9460,Maglemosian,Type 4/Torning-type,Andersen and Petersen 2009
Tunebjerg Ost,Denmark,55.4212,9.8826,TNO_1,NA,NA,AAR_8800,9050,40,Early Holocene,10261-10162,Maglemosian,Type 3/Trunderup-type,Andersen and Petersen 2009
Skalbjerg,Denmark,55.3677,10.1501,SKL_1,NA,SKL_1_basis,AAR_8796,9250,60,Early Holocene,10569-10254,Maglemosian,Type 2/Tjornelunde-type,Andersen and Petersen 2009
Skellingsted Mose,Denmark,55.5899,11.4621,SKM_1,SKM_1_tip,NA,OxA_38342,9261,46,Early Holocene,10571-10278,Maglemosian,no information,Jensen et al. 2021
Vallensgard Mose,Denmark,55.1604,14.8669,VLM_1,VLM_1_tip,VLM_1_basis,AAR_9297,9280,65,Early Holocene,10650-10252 ,Maglemosian,Type 5/Vallensgard-type,Andersen and Petersen 2009
Sandlyng Mose,Denmark,55.5521,11.618,SNM_1,NA,SNM_1_basis,AAR_9296,9905,65,Early Holocene,11684-11201,Ahrensburgian,Type 1/Sandlyng-type,Andersen and Petersen 2009
Victoria Cave,England,54.0803,-2.27528,VCV_1,NA,VCV_1_basis,OxA_2607,10810,100,Late Pleistocene,13054 12619,NA,no information,Lord et al. 2007
Earls Barton,England,52.2668,0.7528,ERB_1,NA,NA,OxA_500,9240,160,Early Holocene,11075-9929,NA,no information,Cook and Barton 1986
Sproughton ,England,52.062411,1.095272,SPR_1,NA,SPR_1_basis,OxA_15219,10960,50,Late Pleistocene,13060-12757,NA,no information,Jacobi et al. 2009
Sproughton ,England,52.062411,1.095272,SPR_2,SPR_2_tip,NA,OxA_14943,11485,60,Late Pleistocene,13484-13193,NA,Duvensee,Jacobi et al. 2009
Bois Ragot,France,46.366669,0.683333,BRT_1,BRT_1_tip,BRT_1_basis,OxA_2754,11640,55,Late Pleistocene,13600-13355,Azilian,Class 1,Dujardin and Oberlin 2005
Saint Michel,France,43.10174,-0.43202,STM_1,STM_1_tip,NA,OxA_28088 ,11965,55,Late Pleistocene,14036-13613 ,Magdalenian,H2,Petillon et al. 2015
Isturitz,France,43.3667,-1.19611,IST_1,IST_1_tip,NA,OxA_28085,13095,55,Late Pleistocene,15896-15512,Magdalenian,H2 ,Barshay-Szmidt et al. 2016; Petillon 2016
Morin,France,44.80798,0.1036,MOR_2,NA,NA,OxA_26670,12470,60,Late Pleistocene,14992-14304,Magdalenian,H1,Barshay-Szmidt et al. 2016
Morin,France,44.80798,0.1036,MOR_1,NA,NA,OxA_26667,12705,55,Late Pleistocene,15309-14976,Magdalenian,H2 ,Barshay-Szmidt et al. 2016; Petillon 2016
Platande,France,43.71707,5.89757,PLT_1,NA,NA,GifA_96326,12740,120,Late Pleistocene,15613-14606,Magdalenian,H2 ,Tisnerat-Laborde et al. 1997
